claim_id	claim_text	evidence_snippet	target_search_query	target_url	target_url_clean
041_001	Innovation abounds from its two industry-led catapult centres and orbit of 12 universities.	Among the twelve univeristies in Yorkshire there are more non-academic than academic staff working at the universities.	yorkshire twelve universities	https://yorkshireuniversities.ac.uk/facts-figures	yorkshireuniversities.ac.uk/facts-figures
041_018	Whilst the average age in UK engineering is 52, ours is 35.	The average age of an engineer in the UK is 54	uk average engineer age	https://bbc.co.uk/news/business-27764671	bbc.co.uk/news/business-27764671
041_037	This initiative for young people has provided more than 3,000 experiences in manufacturing to date.	 Bradford Manufacturing Weeks, which celebrated a highly successful inaugural campaign in 2018 after creating 3,000 manufacturing work experiences during one week for young people in the district, has announced it is extending to a two-week initiative from 7-18 October 2019.	bradford manufacturing weeks 3000 experiences	https://bradfordmanufacturingweeks.co.uk/news/article/extended-initiative-aims-to-create-6-000-student-manufacturing-experiences-in-bradford	bradfordmanufacturingweeks.co.uk/news/article/extended-initiative-aims-to-create-6-000-student-manufacturing-experiences-in-bradford
041_064	Mandy Ridyard is co-owner and finance director of Produmax.	Mandy Ridyard has held the role of Financial Director at Produmax since she led a buy out of the company in 1997.	mandy ridyard produmax	http://futurereadyskillscommission.com/commissioners/mandy-ridyard	futurereadyskillscommission.com/commissioners/mandy-ridyard
041_065	It was named SME manufacturer of the year by Make UK in February.	PRODUMAX WIN MAKE UK REGIONAL SME OF THE YEAR	produmax sme manufacturer of the year	https://www.produmax.co.uk/news/produmax-win-regional-sme-of-the-year.php	produmax.co.uk/news/produmax-win-regional-sme-of-the-year.php
021_001	The 37-nation think tank upgraded its GDP forecasts for the UK on the back of the rapid vaccination rollout, with “a solid rebound” in the services sector as restrictions are lifted over the summer.	The OECD’s 37 members are: Austria, Australia, Belgium, Canada, Chile, Colombia, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Israel, Italy, Japan, Korea, Latvia, Lithuania, Luxembourg, Mexico, the Netherlands, New Zealand, Norway, Poland, Portugal, Slovak Republic, Slovenia, Spain, Sweden, Switzerland, Turkey, the United Kingdom and the United States.  	oecd member countries	https://oecd.org/about/members-and-partners	oecd.org/about/members-and-partners
021_002	The UK growth forecast for this year was lifted to 7.2 per cent , up from previous forecasts of 5.1 per cent in March and 4.2 per cent in December.	Strong GDP growth of 7.2% in 2021 and 5.5% in 2022 is projected as a large share of the population is vaccinated and restrictions to economic activity are progressively eased.	oecd uk gdp growth forecast may 2021	https://www.theguardian.com/business/2021/may/31/uk-growth-upgraded-but-oecd-warns-of-deepest-economic-scar-in-g7-brexit-covid-19	theguardian.com/business/2021/may/31/uk-growth-upgraded-but-oecd-warns-of-deepest-economic-scar-in-g7-brexit-covid-19
021_012	Last month the Bank of England upgraded its growth projections for 2021 to 7.25 per cent.	The Bank raised its estimate for UK GDP growth to 7.25% in 2021, up from a previous forecast in February for growth of 5% this year, as rapid progress with the Covid-19 vaccine and easing of restrictions paves the way for a boom in pent-up demand.	bank of england growth projection 2021	https://www.theguardian.com/business/2021/may/06/uk-braces-for-strongest-economic-growth-since-wwii-forecasts-bank-of-england	theguardian.com/business/2021/may/06/uk-braces-for-strongest-economic-growth-since-wwii-forecasts-bank-of-england
021_016	Rishi Sunak, the chancellor, said: “It is great to see some early signs that the UK is bouncing back from the pandemic, but with debt at nearly 100 per cent of GDP, we must also ensure public finances remain on a sure footing.”	Rishi Sunak (born 12 May 1980) is a British politician who has been Chancellor of the Exchequer since February 2020.	rishi sunak chancellor	https://en.wikipedia.org/wiki/rishi_sunak	en.wikipedia.org/wiki/rishi_sunak
021_018	The OECD raised its global growth forecast from 5.6 per cent to 5.75 per cent for this year and from 4 per cent to nearly 4.5 per cent for 2022.	It now sees global GDP growth at 5.8 % this year (compared with 4.2% projected in December), helped by a government stimulus-led upturn in the United States, and at 4.4% in 2022 (3.7% in December).	oecd global gdp growth forecast may 2021	https://www.oecd.org/economic-outlook/may-2021/	oecd.org/economic-outlook/may-2021
042_004	3 Worries that buying M&G would damage Schroders’ culture was one reason plans were abandoned for a takeover that would have created a £1 trillion UK investment colossus, Peter Harrison, Schroders’ chief executive, has revealed.	Peter Harrison (born May 1966) is a British businessman, and the chief executive (CEO) of Schroders, a British multinational investment management company.	Peter Harrison Schroders chief executive	https://en.wikipedia.org/wiki/peter_harrison_(businessman)	en.wikipedia.org/wiki/peter_harrison_(businessman)
042_009	6 Britishvolt’s battery gigafactory , which will soon be under construction in Northumberland, has “significant export potential” to Europe because of a likely shortfall in battery supply to German and French electric carmakers, its president of global operations, Graham Hoare, has said.	Graham Hoare has left his role as chairman of Ford of Britain and joined Britishvolt, the UK’s biggest investor in automotive lithium ion battery technologies, as president of global operations.	graham hoare britishvolt	https://businessleader.co.uk/graham-hoare-joins-britishvolt-as-president-of-global-operations	businessleader.co.uk/graham-hoare-joins-britishvolt-as-president-of-global-operations
042_013	9 Sir Jon Thompson, chief executive of the Financial Reporting Council , has warned directors opposed to proposed new legislation under which they could face bans or fines for signing off inaccurate accounts that the reforms cannot be “driven by self-interest”.	He became Chief Executive of the Financial Reporting Council after leaving HMRC in Autumn 2019.	Sir Jon Thompson chief executive of the Financial Reporting Council 	https://en.wikipedia.org/wiki/jon_thompson_(civil_servant)	en.wikipedia.org/wiki/jon_thompson_(civil_servant)
042_014	10 Heinz tomato ketchup will be made in Britain again after its owner announced plans for a £140 million upgrade of a site in Wigan.	The Kraft Heinz Company is planning to make a £140 million investment in Kitt Green, Europe’s largest food manufacturing facility located near Wigan, in the North-West of the UK. 	heinz 140 million	https://www.cantechonline.com/news/27140/kraft-heinz-plans-140-million-uk-site-investment	cantechonline.com/news/27140/kraft-heinz-plans-140-million-uk-site-investment
043_006	House prices grew by 10.2 per cent in the year to March, the fastest since before the financial crisis in 2007, with buyers rushing to complete deals before the tax break ends next month.	UK house prices increased by 10.2% in the year to March 2021, up from 9.2% in February 2021.	house prices 10.2 march	https://www.gov.uk/government/news/uk-house-price-index-for-march-2021	gov.uk/government/news/uk-house-price-index-for-march-2021
043_007	Melbourne-based L1 Capital, which manages £2 billion of assets, started investing in UK residential property after the Brexit vote in 2016.	L1 Capital is a global investment manager established in 2007 with offices in Melbourne, Sydney, Miami and London.	melbourne l1 capital	https://www.l1.com.au	l1.com.au
023_003	Martin, 66, told the Daily Telegraph : “The UK has a low birth rate.	Timothy Randall Martin (born 28 April 1955) is a British businessman best known as the founder and chairman of Wetherspoons, a pub chain in the UK and Ireland.	tim martin	https://en.wikipedia.org/wiki/tim_martin_(businessman)	en.wikipedia.org/wiki/tim_martin_(businessman)
023_007	Wetherspoon, founded by Martin in 1979, sells cheap ales, breakfasts, lunches and dinners.	J D Wetherspoon plc (branded variously as Wetherspoon or Wetherspoons, and colloquially known as Spoons) is a pub company operating in the United Kingdom and Ireland. Founded in 1979 by Tim Martin and based in Watford, the company operates 925 pubs as of June 2021.	wetherspoons	https://en.wikipedia.org/wiki/wetherspoons	en.wikipedia.org/wiki/wetherspoons
023_012	About one hospitality worker in ten has left the sector over the past year, according to Caterer.com, the recruitment website.	One in 10 hospitality employees considering leaving the UK due to Brexit	caterer.com one in ten leaving hospitality	https://www.thecaterer.com/news/hotel/one-in-10-hospitality-employees-considering-leaving-the-uk-due-to-brexit	thecaterer.com/news/hotel/one-in-10-hospitality-employees-considering-leaving-the-uk-due-to-brexit
023_013	UK Hospitality, the trade body, has estimated that there is a shortfall of about 188,000 workers, blaming the exodus on successive lockdowns imposed by the government.	"UK Hospitality said there was currently a shortfall of about 188,000 workers, with the shortage of front-of-house staff and chefs being ""particularly acute""."	uk hospitality shortfall 188000	https://www.bbc.co.uk/news/business-57285428	bbc.co.uk/news/business-57285428
045_003	BT, valued at £17 billion, has nearly 30 million customers.	With over 30 million customers, and more than 620 stores on the high street, we're the largest provider of Consumer mobile and fixed broadband communications services in the UK.	bt 30 million customers	https://www.bt.com/about/bt/our-company/group-businesses/consumer	bt.com/about/bt/our-company/group-businesses/consumer
045_006	They have since recovered to pre-pandemic levels as Philip Jansen, the chief executive, tries to revive the company’s fortunes.	Philip Eric Rene Jansen (born January 1967)[1] is a British businessman, the chief executive officer (CEO) of BT since 1 February 2019, having been CEO of Worldpay since 30 April 2013.	philip jansen chief executive	https://en.wikipedia.org/wiki/philip_jansen	en.wikipedia.org/wiki/philip_jansen
045_007	Jan du Plessis , its chairman since 2017, unexpectedly said in March that he would leave BT once a successor had been appointed.	Jan Petrus du Plessis (born 22 January 1954[1]) is an Afrikaner businessman. He is non-executive chairman of BT Group,[2] and the former non-executive Chairman of Rio Tinto Group plc,[3] and a former non-executive director of the Lloyds TSB Group.	jan du plessis bt chairman	https://en.wikipedia.org/wiki/jan_du_plessis	en.wikipedia.org/wiki/jan_du_plessis
045_008	Du Plessis, 67, had said that the role required a person with experience of the technology sector to lead the group’s transformation.	Jan Petrus du Plessis (born 22 January 1954) is an Afrikaner businessman.	jan du plessis age	https://en.wikipedia.org/wiki/jan_du_plessis	en.wikipedia.org/wiki/jan_du_plessis
